engine path: ./llama/7B/trt_engines/fp16/1-gpu-1-batch/
tokenizer path: ./meta-llama/Llama-2-7b-chat-hf_tokenizer/
num_iterations: 100
{'max_batch_size': 1, 'iteration': 0, 'max_input_tokens': 443, 'max_output_tokens': 441, 'batch_input_lengths': [442], 'batch_output_lengths': tensor([[883]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622494.5339594, 'batch_end_time': 1712622502.4556515, 'batch_latency': 7.921692132949829}
{'max_batch_size': 1, 'iteration': 53, 'max_input_tokens': 28, 'max_output_tokens': 802, 'batch_input_lengths': [27], 'batch_output_lengths': tensor([[829]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622730.7027261, 'batch_end_time': 1712622744.0487833, 'batch_latency': 13.346057176589966}
{'max_batch_size': 1, 'iteration': 54, 'max_input_tokens': 39, 'max_output_tokens': 26, 'batch_input_lengths': [38], 'batch_output_lengths': tensor([[64]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622744.0496156, 'batch_end_time': 1712622744.4948297, 'batch_latency': 0.44521403312683105}
{'max_batch_size': 1, 'iteration': 55, 'max_input_tokens': 270, 'max_output_tokens': 645, 'batch_input_lengths': [269], 'batch_output_lengths': tensor([[914]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622744.4955785, 'batch_end_time': 1712622755.3417583, 'batch_latency': 10.846179723739624}
{'max_batch_size': 1, 'iteration': 56, 'max_input_tokens': 7, 'max_output_tokens': 285, 'batch_input_lengths': [6], 'batch_output_lengths': tensor([[291]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622755.342273, 'batch_end_time': 1712622760.041213, 'batch_latency': 4.69894003868103}
{'max_batch_size': 1, 'iteration': 57, 'max_input_tokens': 25, 'max_output_tokens': 46, 'batch_input_lengths': [24], 'batch_output_lengths': tensor([[70]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622760.0418437, 'batch_end_time': 1712622760.802203, 'batch_latency': 0.7603592872619629}
{'max_batch_size': 1, 'iteration': 58, 'max_input_tokens': 801, 'max_output_tokens': 397, 'batch_input_lengths': [800], 'batch_output_lengths': tensor([[1197]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622760.8036895, 'batch_end_time': 1712622767.6860626, 'batch_latency': 6.882373094558716}
{'max_batch_size': 1, 'iteration': 59, 'max_input_tokens': 23, 'max_output_tokens': 107, 'batch_input_lengths': [22], 'batch_output_lengths': tensor([[129]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622767.686665, 'batch_end_time': 1712622769.450715, 'batch_latency': 1.764050006866455}
{'max_batch_size': 1, 'iteration': 60, 'max_input_tokens': 45, 'max_output_tokens': 419, 'batch_input_lengths': [44], 'batch_output_lengths': tensor([[462]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622769.4512951, 'batch_end_time': 1712622776.3958957, 'batch_latency': 6.944600582122803}
{'max_batch_size': 1, 'iteration': 61, 'max_input_tokens': 19, 'max_output_tokens': 480, 'batch_input_lengths': [18], 'batch_output_lengths': tensor([[498]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622776.39647, 'batch_end_time': 1712622784.3349323, 'batch_latency': 7.938462257385254}
{'max_batch_size': 1, 'iteration': 62, 'max_input_tokens': 43, 'max_output_tokens': 639, 'batch_input_lengths': [42], 'batch_output_lengths': tensor([[681]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622784.3357098, 'batch_end_time': 1712622794.9628572, 'batch_latency': 10.627147436141968}
{'max_batch_size': 1, 'iteration': 63, 'max_input_tokens': 31, 'max_output_tokens': 192, 'batch_input_lengths': [30], 'batch_output_lengths': tensor([[222]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622794.9636812, 'batch_end_time': 1712622798.1305087, 'batch_latency': 3.166827440261841}
{'max_batch_size': 1, 'iteration': 64, 'max_input_tokens': 23, 'max_output_tokens': 479, 'batch_input_lengths': [22], 'batch_output_lengths': tensor([[501]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622798.1309466, 'batch_end_time': 1712622806.0549262, 'batch_latency': 7.9239795207977295}
{'max_batch_size': 1, 'iteration': 65, 'max_input_tokens': 963, 'max_output_tokens': 6, 'batch_input_lengths': [962], 'batch_output_lengths': tensor([[968]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622806.0571847, 'batch_end_time': 1712622806.329282, 'batch_latency': 0.2720973491668701}
{'max_batch_size': 1, 'iteration': 66, 'max_input_tokens': 8, 'max_output_tokens': 228, 'batch_input_lengths': [7], 'batch_output_lengths': tensor([[235]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622806.3297267, 'batch_end_time': 1712622810.0949507, 'batch_latency': 3.765223979949951}
{'max_batch_size': 1, 'iteration': 67, 'max_input_tokens': 20, 'max_output_tokens': 348, 'batch_input_lengths': [19], 'batch_output_lengths': tensor([[367]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622810.0953784, 'batch_end_time': 1712622815.8417132, 'batch_latency': 5.746334791183472}
{'max_batch_size': 1, 'iteration': 68, 'max_input_tokens': 17, 'max_output_tokens': 571, 'batch_input_lengths': [16], 'batch_output_lengths': tensor([[587]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622815.8420978, 'batch_end_time': 1712622825.3026142, 'batch_latency': 9.460516452789307}
{'max_batch_size': 1, 'iteration': 69, 'max_input_tokens': 340, 'max_output_tokens': 601, 'batch_input_lengths': [339], 'batch_output_lengths': tensor([[735]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622825.3045447, 'batch_end_time': 1712622831.9984314, 'batch_latency': 6.693886756896973}
{'max_batch_size': 1, 'iteration': 70, 'max_input_tokens': 82, 'max_output_tokens': 37, 'batch_input_lengths': [81], 'batch_output_lengths': tensor([[100]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622831.9992888, 'batch_end_time': 1712622832.3651783, 'batch_latency': 0.3658895492553711}
{'max_batch_size': 1, 'iteration': 71, 'max_input_tokens': 51, 'max_output_tokens': 20, 'batch_input_lengths': [50], 'batch_output_lengths': tensor([[70]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622832.365707, 'batch_end_time': 1712622832.7150643, 'batch_latency': 0.34935736656188965}
{'max_batch_size': 1, 'iteration': 72, 'max_input_tokens': 154, 'max_output_tokens': 278, 'batch_input_lengths': [153], 'batch_output_lengths': tensor([[168]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622832.7163224, 'batch_end_time': 1712622833.0229776, 'batch_latency': 0.3066551685333252}
{'max_batch_size': 1, 'iteration': 73, 'max_input_tokens': 452, 'max_output_tokens': 654, 'batch_input_lengths': [451], 'batch_output_lengths': tensor([[1046]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622833.0241492, 'batch_end_time': 1712622843.1303055, 'batch_latency': 10.106156349182129}
{'max_batch_size': 1, 'iteration': 74, 'max_input_tokens': 106, 'max_output_tokens': 412, 'batch_input_lengths': [105], 'batch_output_lengths': tensor([[489]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622843.1312985, 'batch_end_time': 1712622849.5325274, 'batch_latency': 6.401228904724121}
{'max_batch_size': 1, 'iteration': 75, 'max_input_tokens': 30, 'max_output_tokens': 61, 'batch_input_lengths': [29], 'batch_output_lengths': tensor([[90]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622849.5330663, 'batch_end_time': 1712622850.5413458, 'batch_latency': 1.00827956199646}
{'max_batch_size': 1, 'iteration': 76, 'max_input_tokens': 20, 'max_output_tokens': 274, 'batch_input_lengths': [19], 'batch_output_lengths': tensor([[293]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622850.541688, 'batch_end_time': 1712622855.061115, 'batch_latency': 4.519427061080933}
{'max_batch_size': 1, 'iteration': 77, 'max_input_tokens': 173, 'max_output_tokens': 353, 'batch_input_lengths': [172], 'batch_output_lengths': tensor([[490]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622855.0621572, 'batch_end_time': 1712622860.3900933, 'batch_latency': 5.327936172485352}
{'max_batch_size': 1, 'iteration': 78, 'max_input_tokens': 65, 'max_output_tokens': 202, 'batch_input_lengths': [64], 'batch_output_lengths': tensor([[266]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622860.3906734, 'batch_end_time': 1712622863.7426586, 'batch_latency': 3.351985216140747}
{'max_batch_size': 1, 'iteration': 79, 'max_input_tokens': 36, 'max_output_tokens': 180, 'batch_input_lengths': [35], 'batch_output_lengths': tensor([[215]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622863.7431796, 'batch_end_time': 1712622866.7260196, 'batch_latency': 2.982840061187744}
{'max_batch_size': 1, 'iteration': 80, 'max_input_tokens': 32, 'max_output_tokens': 676, 'batch_input_lengths': [31], 'batch_output_lengths': tensor([[707]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622866.72665, 'batch_end_time': 1712622877.9550166, 'batch_latency': 11.228366613388062}
{'max_batch_size': 1, 'iteration': 81, 'max_input_tokens': 11, 'max_output_tokens': 641, 'batch_input_lengths': [10], 'batch_output_lengths': tensor([[651]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622877.9556203, 'batch_end_time': 1712622888.5871794, 'batch_latency': 10.631559133529663}
{'max_batch_size': 1, 'iteration': 82, 'max_input_tokens': 53, 'max_output_tokens': 142, 'batch_input_lengths': [52], 'batch_output_lengths': tensor([[194]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622888.5880036, 'batch_end_time': 1712622890.9461386, 'batch_latency': 2.3581349849700928}
{'max_batch_size': 1, 'iteration': 83, 'max_input_tokens': 23, 'max_output_tokens': 271, 'batch_input_lengths': [22], 'batch_output_lengths': tensor([[293]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622890.9467537, 'batch_end_time': 1712622895.4175813, 'batch_latency': 4.470827579498291}
{'max_batch_size': 1, 'iteration': 84, 'max_input_tokens': 61, 'max_output_tokens': 331, 'batch_input_lengths': [60], 'batch_output_lengths': tensor([[391]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622895.4182918, 'batch_end_time': 1712622900.905915, 'batch_latency': 5.48762321472168}
{'max_batch_size': 1, 'iteration': 85, 'max_input_tokens': 25, 'max_output_tokens': 516, 'batch_input_lengths': [24], 'batch_output_lengths': tensor([[540]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622900.9065194, 'batch_end_time': 1712622909.4484785, 'batch_latency': 8.541959047317505}
{'max_batch_size': 1, 'iteration': 86, 'max_input_tokens': 9, 'max_output_tokens': 191, 'batch_input_lengths': [8], 'batch_output_lengths': tensor([[199]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622909.449045, 'batch_end_time': 1712622912.5948021, 'batch_latency': 3.1457571983337402}
{'max_batch_size': 1, 'iteration': 87, 'max_input_tokens': 174, 'max_output_tokens': 83, 'batch_input_lengths': [173], 'batch_output_lengths': tensor([[256]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622912.596156, 'batch_end_time': 1712622914.007774, 'batch_latency': 1.4116182327270508}
